season,hour,holiday,workingday,weather,windspeed,casual,registered,count,temperature,humidity_values
1.0,19,0.0,0.0,1.0,0.4478,1,29,30.0,2,2
1.0,20,0.0,0.0,1.0,0.3582,5,17,22.0,0,2
1.0,21,0.0,0.0,1.0,0.3284,11,20,31.0,0,2
1.0,22,0.0,0.0,1.0,0.2985,0,9,9.0,0,2
1.0,23,0.0,0.0,1.0,0.1642,0,8,8.0,0,2
1.0,0,0.0,1.0,1.0,0.3582,0,5,5.0,0,2
1.0,1,0.0,1.0,1.0,0.4179,0,2,2.0,0,2
1.0,4,0.0,1.0,1.0,0.3881,0,1,1.0,0,2
1.0,5,0.0,1.0,1.0,0.2836,0,3,3.0,0,2
1.0,6,0.0,1.0,1.0,0.3881,0,30,30.0,0,2
1.0,7,0.0,1.0,1.0,0.194,1,63,64.0,0,2
1.0,8,0.0,1.0,1.0,0.2836,1,153,154.0,0,2
1.0,9,0.0,1.0,1.0,0.3881,7,81,88.0,0,2
1.0,10,0.0,1.0,1.0,0.2537,11,33,44.0,0,2
1.0,11,0.0,1.0,1.0,0.3284,10,41,51.0,0,2
1.0,12,0.0,1.0,1.0,0.2985,13,48,61.0,0,2
1.0,13,0.0,1.0,1.0,0.2836,8,53,61.0,0,2
1.0,14,0.0,1.0,1.0,0.2836,11,66,77.0,0,1
1.0,15,0.0,1.0,1.0,0.2537,14,58,72.0,0,1
1.0,16,0.0,1.0,1.0,0.2537,9,67,76.0,0,1
1.0,17,0.0,1.0,1.0,0.2239,11,146,157.0,0,1
1.0,18,0.0,1.0,1.0,0.1045,9,148,157.0,0,2
1.0,19,0.0,1.0,1.0,0.0,8,102,110.0,0,2
1.0,20,0.0,1.0,1.0,0.1045,3,49,52.0,0,2
1.0,21,0.0,1.0,1.0,0.1343,3,49,52.0,0,0
1.0,22,0.0,1.0,1.0,0.1343,0,20,20.0,0,0
1.0,23,0.0,1.0,1.0,0.1045,1,11,12.0,0,2
1.0,0,0.0,1.0,1.0,0.1045,0,5,5.0,0,2
1.0,1,0.0,1.0,1.0,0.1045,0,2,2.0,0,2
1.0,2,0.0,1.0,1.0,0.1343,0,1,1.0,0,0
1.0,4,0.0,1.0,1.0,0.0896,0,2,2.0,0,0
1.0,5,0.0,1.0,1.0,0.1045,0,4,4.0,0,0
1.0,6,0.0,1.0,1.0,0.1045,0,36,36.0,0,0
1.0,7,0.0,1.0,1.0,0.1343,2,92,94.0,0,0
1.0,8,0.0,1.0,1.0,0.1642,2,177,179.0,0,0
1.0,9,0.0,1.0,1.0,0.2239,2,98,100.0,0,0
1.0,10,0.0,1.0,2.0,0.3284,5,37,42.0,0,0
1.0,11,0.0,1.0,1.0,0.2985,7,50,57.0,0,2
1.0,12,0.0,1.0,1.0,0.1642,12,66,78.0,0,2
1.0,13,0.0,1.0,1.0,0.194,18,79,97.0,0,2
1.0,14,0.0,1.0,1.0,0.2239,9,54,63.0,0,2
1.0,15,0.0,1.0,1.0,0.2537,17,48,65.0,0,2
1.0,16,0.0,1.0,1.0,0.2537,15,68,83.0,0,2
1.0,17,0.0,1.0,1.0,0.2239,10,202,212.0,0,2
1.0,18,0.0,1.0,1.0,0.194,3,179,182.0,0,2
1.0,19,0.0,1.0,1.0,0.1045,2,110,112.0,0,2
1.0,20,0.0,1.0,1.0,0.1045,1,53,54.0,0,2
1.0,21,0.0,1.0,1.0,0.0,0,48,48.0,0,0
1.0,22,0.0,1.0,1.0,0.0896,1,34,35.0,0,0
1.0,23,0.0,1.0,1.0,0.0896,2,9,11.0,0,0
1.0,0,0.0,1.0,1.0,0.0,0,6,6.0,0,0
1.0,1,0.0,1.0,1.0,0.0896,0,6,6.0,0,0
1.0,2,0.0,1.0,1.0,0.0896,0,2,2.0,0,0
1.0,4,0.0,1.0,1.0,0.2239,0,2,2.0,0,2
1.0,5,0.0,1.0,1.0,0.1642,0,3,3.0,0,2
1.0,6,0.0,1.0,1.0,0.2239,0,33,33.0,0,2
1.0,7,0.0,1.0,1.0,0.194,1,87,88.0,0,2
1.0,8,0.0,1.0,1.0,0.2985,3,192,195.0,0,2
1.0,9,0.0,1.0,1.0,0.3284,6,109,115.0,0,2
1.0,10,0.0,1.0,1.0,0.3284,4,53,57.0,0,2
1.0,11,0.0,1.0,1.0,0.3284,12,34,46.0,0,2
1.0,12,0.0,1.0,1.0,0.3284,5,74,79.0,0,2
1.0,13,0.0,1.0,1.0,0.2985,6,65,71.0,0,1
1.0,14,0.0,1.0,1.0,0.194,10,52,62.0,0,1
1.0,15,0.0,1.0,1.0,0.194,7,55,62.0,0,1
1.0,16,0.0,1.0,1.0,0.0896,4,85,89.0,0,1
1.0,17,0.0,1.0,1.0,0.194,4,186,190.0,0,2
1.0,18,0.0,1.0,1.0,0.1343,3,166,169.0,0,2
1.0,19,0.0,1.0,1.0,0.1045,5,127,132.0,0,2
1.0,20,0.0,1.0,1.0,0.1642,7,82,89.0,0,2
1.0,21,0.0,1.0,1.0,0.194,3,40,43.0,0,2
1.0,22,0.0,1.0,1.0,0.1343,1,41,42.0,0,2
1.0,23,0.0,1.0,1.0,0.0,1,18,19.0,0,2
1.0,0,0.0,1.0,1.0,0.0,0,11,11.0,0,2
1.0,1,0.0,1.0,1.0,0.0,0,4,4.0,0,0
1.0,2,0.0,1.0,1.0,0.0,0,2,2.0,0,0
1.0,4,0.0,1.0,2.0,0.0896,0,1,1.0,0,0
1.0,5,0.0,1.0,2.0,0.0896,0,4,4.0,0,0
1.0,6,0.0,1.0,2.0,0.1045,0,36,36.0,0,0
1.0,7,0.0,1.0,2.0,0.0,0,95,95.0,0,2
1.0,8,0.0,1.0,1.0,0.0,3,216,219.0,0,2
1.0,9,0.0,1.0,2.0,0.0,6,116,122.0,0,2
1.0,10,0.0,1.0,1.0,0.0,3,42,45.0,0,2
1.0,11,0.0,1.0,1.0,0.0896,2,57,59.0,0,2
1.0,12,0.0,1.0,1.0,0.0,6,78,84.0,0,2
1.0,13,0.0,1.0,1.0,0.1045,12,55,67.0,0,2
1.0,14,0.0,1.0,1.0,0.1642,11,59,70.0,0,2
1.0,15,0.0,1.0,1.0,0.0,8,54,62.0,0,2
1.0,16,0.0,1.0,1.0,0.1642,12,74,86.0,0,2
1.0,17,0.0,1.0,1.0,0.1642,9,163,172.0,0,2
1.0,18,0.0,1.0,1.0,0.1343,5,158,163.0,0,2
1.0,19,0.0,1.0,1.0,0.0896,3,109,112.0,0,2
1.0,20,0.0,1.0,1.0,0.1642,3,66,69.0,0,2
1.0,21,0.0,1.0,2.0,0.2239,0,48,48.0,0,2
1.0,22,0.0,1.0,2.0,0.2836,1,51,52.0,0,2
1.0,23,0.0,1.0,2.0,0.194,4,19,23.0,0,2
1.0,0,0.0,1.0,2.0,0.194,4,13,17.0,0,0
1.0,1,0.0,1.0,2.0,0.2239,2,5,7.0,0,0
1.0,2,0.0,1.0,2.0,0.2239,0,1,1.0,0,0
1.0,4,0.0,1.0,2.0,0.1343,0,1,1.0,0,0
1.0,5,0.0,1.0,3.0,0.0,0,5,5.0,0,2
1.0,6,0.0,1.0,2.0,0.0,8,26,34.0,0,0
1.0,7,0.0,1.0,1.0,0.1343,8,76,84.0,0,0
1.0,8,0.0,1.0,1.0,0.2537,20,190,210.0,0,2
1.0,9,0.0,1.0,1.0,0.2985,9,125,134.0,0,2
1.0,10,0.0,1.0,1.0,0.3284,16,47,63.0,0,2
1.0,11,0.0,1.0,2.0,0.2239,19,48,67.0,0,2
1.0,12,0.0,1.0,2.0,0.2537,9,50,59.0,0,2
1.0,13,0.0,1.0,2.0,0.2836,9,64,73.0,0,2
1.0,14,0.0,1.0,2.0,0.2537,7,43,50.0,0,2
1.0,15,0.0,1.0,2.0,0.1642,9,63,72.0,0,2
1.0,16,0.0,1.0,2.0,0.1642,5,82,87.0,0,2
1.0,17,0.0,1.0,2.0,0.0,9,178,187.0,0,2
1.0,18,0.0,1.0,1.0,0.0896,7,116,123.0,0,2
1.0,19,0.0,1.0,1.0,0.0896,3,92,95.0,0,2
1.0,20,0.0,1.0,1.0,0.1045,1,50,51.0,0,2
1.0,21,0.0,1.0,1.0,0.1343,0,39,39.0,0,2
1.0,22,0.0,1.0,2.0,0.1642,2,34,36.0,0,2
1.0,23,0.0,1.0,2.0,0.1642,1,14,15.0,0,2
1.0,0,0.0,0.0,2.0,0.1642,1,24,25.0,0,2
1.0,1,0.0,0.0,2.0,0.0896,1,15,16.0,0,2
1.0,2,0.0,0.0,2.0,0.0,3,13,16.0,0,2
1.0,3,0.0,0.0,3.0,0.1642,0,7,7.0,0,2
1.0,4,0.0,0.0,3.0,0.1642,0,1,1.0,0,2
1.0,5,0.0,0.0,2.0,0.1642,0,5,5.0,0,0
1.0,6,0.0,0.0,2.0,0.1642,0,2,2.0,0,0
1.0,7,0.0,0.0,2.0,0.1045,1,8,9.0,0,0
1.0,8,0.0,0.0,3.0,0.1045,0,15,15.0,0,3
1.0,9,0.0,0.0,3.0,0.1045,0,20,20.0,0,3
1.0,10,0.0,0.0,2.0,0.1642,5,56,61.0,0,0
1.0,11,0.0,0.0,2.0,0.3881,2,60,62.0,0,0
1.0,12,0.0,0.0,2.0,0.3582,8,90,98.0,0,2
1.0,13,0.0,0.0,1.0,0.3284,7,95,102.0,0,2
1.0,14,0.0,0.0,1.0,0.4925,12,83,95.0,0,2
1.0,15,0.0,0.0,1.0,0.4478,5,69,74.0,0,2
1.0,16,0.0,0.0,1.0,0.4478,8,68,76.0,0,1
1.0,17,0.0,0.0,1.0,0.5522,5,64,69.0,0,2
1.0,18,0.0,0.0,1.0,0.2985,3,52,55.0,0,2
1.0,19,0.0,0.0,1.0,0.2537,4,26,30.0,0,2
1.0,20,0.0,0.0,1.0,0.2537,0,28,28.0,0,2
1.0,21,0.0,0.0,1.0,0.3582,2,35,37.0,0,2
1.0,22,0.0,0.0,1.0,0.3881,1,33,34.0,0,2
1.0,23,0.0,0.0,1.0,0.4478,0,22,22.0,0,2
1.0,0,0.0,0.0,1.0,0.3881,1,24,25.0,0,2
1.0,1,0.0,0.0,1.0,0.4627,0,12,12.0,0,2
1.0,2,0.0,0.0,1.0,0.4627,0,11,11.0,0,2
1.0,3,0.0,0.0,1.0,0.4179,0,4,4.0,0,2
1.0,4,0.0,0.0,1.0,0.194,0,1,1.0,0,2
1.0,5,0.0,0.0,1.0,0.194,0,1,1.0,0,2
1.0,6,0.0,0.0,1.0,0.2836,0,1,1.0,0,2
1.0,7,0.0,0.0,1.0,0.194,1,5,6.0,0,2
1.0,8,0.0,0.0,1.0,0.2836,0,10,10.0,0,2
1.0,9,0.0,0.0,1.0,0.5224,0,19,19.0,0,2
1.0,10,0.0,0.0,1.0,0.3881,0,49,49.0,0,2
1.0,11,0.0,0.0,1.0,0.5224,2,47,49.0,0,2
1.0,12,0.0,0.0,1.0,0.4478,4,79,83.0,0,2
1.0,13,0.0,0.0,1.0,0.4478,6,69,75.0,0,2
1.0,14,0.0,0.0,1.0,0.4627,8,64,72.0,0,2
1.0,15,0.0,0.0,1.0,0.3582,5,77,82.0,0,2
1.0,16,0.0,0.0,1.0,0.4478,13,79,92.0,0,2
1.0,17,0.0,0.0,1.0,0.3881,3,59,62.0,0,2
1.0,18,0.0,0.0,1.0,0.3284,4,44,48.0,0,2
1.0,19,0.0,0.0,1.0,0.3284,1,40,41.0,0,2
1.0,20,0.0,0.0,1.0,0.2537,0,38,38.0,0,2
1.0,21,0.0,0.0,1.0,0.4179,1,19,20.0,0,2
1.0,22,0.0,0.0,1.0,0.2985,5,10,15.0,0,2
1.0,23,0.0,0.0,1.0,0.194,0,6,6.0,0,2
1.0,0,0.0,1.0,1.0,0.2836,2,3,5.0,0,2
1.0,1,0.0,1.0,1.0,0.2836,1,0,1.0,0,2
1.0,2,0.0,1.0,1.0,0.2239,0,3,3.0,0,2
1.0,3,0.0,1.0,1.0,0.2239,0,1,1.0,0,2
1.0,4,0.0,1.0,1.0,0.1343,1,2,3.0,0,2
1.0,5,0.0,1.0,1.0,0.2537,0,3,3.0,0,2
1.0,6,0.0,1.0,1.0,0.2836,0,31,31.0,0,2
1.0,7,0.0,1.0,1.0,0.2239,2,75,77.0,0,2
1.0,8,0.0,1.0,2.0,0.2836,4,184,188.0,0,2
1.0,9,0.0,1.0,2.0,0.2537,2,92,94.0,0,2
1.0,10,0.0,1.0,2.0,0.2985,0,31,31.0,0,2
1.0,11,0.0,1.0,2.0,0.2836,2,28,30.0,0,2
1.0,12,0.0,1.0,2.0,0.2836,5,47,52.0,0,2
1.0,13,0.0,1.0,2.0,0.2836,4,50,54.0,0,2
1.0,14,0.0,1.0,2.0,0.2239,0,47,47.0,0,2
1.0,15,0.0,1.0,2.0,0.2239,2,43,45.0,0,2
1.0,16,0.0,1.0,1.0,0.1343,4,70,74.0,0,2
1.0,17,0.0,1.0,1.0,0.1045,4,174,178.0,0,2
1.0,18,0.0,1.0,1.0,0.2239,1,154,155.0,0,2
1.0,19,0.0,1.0,1.0,0.1642,3,92,95.0,0,2
1.0,20,0.0,1.0,1.0,0.1642,1,73,74.0,0,2
1.0,21,0.0,1.0,1.0,0.194,1,37,38.0,0,2
1.0,22,0.0,1.0,1.0,0.1642,2,22,24.0,0,2
1.0,23,0.0,1.0,1.0,0.1642,0,18,18.0,0,2
1.0,0,0.0,1.0,1.0,0.1045,2,10,12.0,0,2
1.0,1,0.0,1.0,1.0,0.1642,0,3,3.0,0,2
1.0,2,0.0,1.0,2.0,0.194,0,3,3.0,0,2
1.0,5,0.0,1.0,2.0,0.1343,0,6,6.0,0,2
1.0,6,0.0,1.0,2.0,0.1343,0,27,27.0,0,2
1.0,7,0.0,1.0,2.0,0.0,2,97,99.0,0,2
1.0,8,0.0,1.0,2.0,0.0896,3,214,217.0,0,2
1.0,9,0.0,1.0,2.0,0.1642,3,127,130.0,0,2
1.0,10,0.0,1.0,2.0,0.1642,3,51,54.0,0,2
1.0,11,0.0,1.0,2.0,0.1343,4,31,35.0,0,2
1.0,12,0.0,1.0,2.0,0.1045,2,55,57.0,0,2
1.0,13,0.0,1.0,2.0,0.0896,6,46,52.0,0,2
1.0,14,0.0,1.0,2.0,0.0896,3,60,63.0,0,2
1.0,15,0.0,1.0,2.0,0.0896,2,45,47.0,0,0
1.0,16,0.0,1.0,2.0,0.2239,4,72,76.0,0,0
1.0,17,0.0,1.0,2.0,0.2239,6,130,136.0,0,0
1.0,18,0.0,1.0,3.0,0.1045,1,94,95.0,0,3
1.0,19,0.0,1.0,3.0,0.0,0,51,51.0,0,3
1.0,20,0.0,1.0,3.0,0.194,0,32,32.0,0,3
1.0,21,0.0,1.0,3.0,0.0896,0,20,20.0,0,0
1.0,22,0.0,1.0,3.0,0.1045,1,28,29.0,0,3
1.0,23,0.0,1.0,3.0,0.0896,1,18,19.0,0,3
1.0,0,0.0,1.0,2.0,0.0896,0,7,7.0,0,0
1.0,1,0.0,1.0,2.0,0.1045,0,6,6.0,0,0
1.0,2,0.0,1.0,1.0,0.1343,0,1,1.0,0,0
1.0,5,0.0,1.0,1.0,0.1642,0,5,5.0,0,0
1.0,6,0.0,1.0,1.0,0.1343,0,16,16.0,0,3
1.0,7,0.0,1.0,1.0,0.1343,0,54,54.0,0,0
1.0,8,0.0,1.0,1.0,0.1642,3,125,128.0,0,2
1.0,9,0.0,1.0,1.0,0.3284,3,78,81.0,0,2
1.0,10,0.0,1.0,1.0,0.2239,0,39,39.0,0,2
1.0,11,0.0,1.0,1.0,0.3881,3,32,35.0,0,2
1.0,12,0.0,1.0,1.0,0.5571182920248333,3,52,55.0,0,2
1.0,13,0.0,1.0,1.0,0.3582,0,49,49.0,0,2
1.0,14,0.0,1.0,1.0,0.3284,0,44,44.0,0,2
1.0,15,0.0,1.0,1.0,0.4179,1,48,49.0,0,2
1.0,16,0.0,1.0,1.0,0.3284,5,63,68.0,0,2
1.0,17,0.0,1.0,1.0,0.3582,0,139,139.0,0,2
1.0,18,0.0,1.0,1.0,0.5224,2,135,137.0,0,2
1.0,19,0.0,1.0,1.0,0.4179,1,82,83.0,0,2
1.0,20,0.0,1.0,1.0,0.3284,2,54,56.0,0,2
1.0,21,0.0,1.0,1.0,0.3284,0,57,57.0,0,2
1.0,22,0.0,1.0,1.0,0.4478,1,32,33.0,0,2
1.0,23,0.0,1.0,1.0,0.4179,1,19,20.0,0,2
1.0,0,0.0,1.0,1.0,0.2836,1,6,7.0,0,2
1.0,1,0.0,1.0,1.0,0.2836,0,2,2.0,0,2
1.0,2,0.0,1.0,1.0,0.3582,0,2,2.0,0,2
1.0,3,0.0,1.0,1.0,0.3284,0,3,3.0,0,2
1.0,4,0.0,1.0,1.0,0.2537,0,4,4.0,0,2
1.0,5,0.0,1.0,1.0,0.2985,0,3,3.0,0,2
1.0,6,0.0,1.0,1.0,0.1343,0,28,28.0,0,2
1.0,7,0.0,1.0,1.0,0.1343,0,72,72.0,0,2
1.0,8,0.0,1.0,1.0,0.194,5,197,202.0,0,2
1.0,9,0.0,1.0,1.0,0.3284,2,137,139.0,0,2
1.0,10,0.0,1.0,2.0,0.3582,2,36,38.0,0,2
1.0,11,0.0,1.0,2.0,0.4478,4,33,37.0,0,2
1.0,12,0.0,1.0,1.0,0.4179,3,49,52.0,0,2
1.0,13,0.0,1.0,1.0,0.4478,2,81,83.0,0,2
1.0,14,0.0,1.0,1.0,0.3881,3,39,42.0,0,2
1.0,15,0.0,1.0,1.0,0.2985,5,55,60.0,0,2
1.0,16,0.0,1.0,1.0,0.3582,2,76,78.0,0,2
1.0,17,0.0,1.0,1.0,0.2836,4,158,162.0,0,2
1.0,18,0.0,1.0,1.0,0.3284,3,141,144.0,0,2
1.0,19,0.0,1.0,1.0,0.2537,1,98,99.0,0,2
1.0,20,0.0,1.0,1.0,0.2239,0,64,64.0,0,2
1.0,21,0.0,1.0,1.0,0.2985,0,40,40.0,0,2
1.0,22,0.0,1.0,1.0,0.3284,0,30,30.0,0,2
1.0,23,0.0,1.0,1.0,0.194,1,14,15.0,0,2
1.0,0,0.0,1.0,1.0,0.194,0,14,14.0,0,2
1.0,1,0.0,1.0,1.0,0.1642,0,5,5.0,0,2
1.0,2,0.0,1.0,1.0,0.1343,0,1,1.0,0,2
1.0,3,0.0,1.0,1.0,0.1045,0,1,1.0,0,2
1.0,5,0.0,1.0,1.0,0.0896,0,8,8.0,0,2
1.0,6,0.0,1.0,1.0,0.0,0,17,17.0,0,2
1.0,7,0.0,1.0,1.0,0.1642,0,70,70.0,0,0
1.0,8,0.0,1.0,1.0,0.0,2,156,158.0,0,0
1.0,9,0.0,1.0,1.0,0.1343,0,117,117.0,0,0
1.0,10,0.0,1.0,1.0,0.194,4,40,44.0,0,2
1.0,11,0.0,1.0,1.0,0.2836,6,47,53.0,0,2
1.0,12,0.0,1.0,1.0,0.2537,2,59,61.0,0,2
1.0,13,0.0,1.0,1.0,0.3881,4,73,77.0,0,2
1.0,14,0.0,1.0,1.0,0.2836,5,59,64.0,0,2
1.0,15,0.0,1.0,1.0,0.1642,9,59,68.0,0,2
1.0,16,0.0,1.0,1.0,0.1045,3,87,90.0,0,2
1.0,17,0.0,1.0,1.0,0.1642,4,155,159.0,0,2
1.0,18,0.0,1.0,1.0,0.0,5,134,139.0,0,2
1.0,19,0.0,1.0,1.0,0.0896,3,89,92.0,0,2
1.0,20,0.0,1.0,1.0,0.0,0,68,68.0,0,2
1.0,21,0.0,1.0,1.0,0.0,4,48,52.0,0,0
1.0,22,0.0,1.0,2.0,0.0,2,34,36.0,0,0
1.0,23,0.0,1.0,2.0,0.0,1,26,27.0,0,2
1.0,0,0.0,0.0,1.0,0.0,3,25,28.0,0,2
1.0,1,0.0,0.0,2.0,0.0896,2,18,20.0,0,2
1.0,2,0.0,0.0,2.0,0.0896,0,12,12.0,0,2
1.0,3,0.0,0.0,2.0,0.0,1,7,8.0,0,2
1.0,4,0.0,0.0,2.0,0.0,0,5,5.0,0,2
1.0,5,0.0,0.0,1.0,0.0,0,1,1.0,0,2
1.0,6,0.0,0.0,1.0,0.1045,1,2,3.0,0,0
1.0,7,0.0,0.0,1.0,0.0,1,9,10.0,0,0
1.0,8,0.0,0.0,1.0,0.1343,1,22,23.0,0,0
1.0,9,0.0,0.0,1.0,0.1343,2,31,33.0,0,0
1.0,10,0.0,0.0,1.0,0.1642,2,57,59.0,0,2
1.0,11,0.0,0.0,1.0,0.2239,18,54,72.0,0,2
1.0,12,0.0,0.0,1.0,0.2239,15,74,89.0,0,2
1.0,13,0.0,0.0,1.0,0.2985,21,80,101.0,0,2
1.0,14,0.0,0.0,1.0,0.2836,26,92,118.0,0,2
1.0,15,0.0,0.0,2.0,0.194,21,108,129.0,2,2
1.0,16,0.0,0.0,2.0,0.194,33,95,128.0,2,2
1.0,17,0.0,0.0,2.0,0.2836,29,54,83.0,2,2
1.0,18,0.0,0.0,2.0,0.2537,15,69,84.0,0,2
1.0,19,0.0,0.0,2.0,0.2537,14,60,74.0,2,2
1.0,20,0.0,0.0,2.0,0.2537,6,35,41.0,2,2
1.0,21,0.0,0.0,2.0,0.2239,6,51,57.0,2,2
1.0,22,0.0,0.0,2.0,0.1045,0,26,26.0,0,2
1.0,23,0.0,0.0,1.0,0.2836,5,39,44.0,0,2
1.0,0,0.0,0.0,1.0,0.0,6,33,39.0,0,2
1.0,1,0.0,0.0,1.0,0.1343,4,19,23.0,0,2
1.0,2,0.0,0.0,1.0,0.0896,3,13,16.0,0,2
1.0,3,0.0,0.0,1.0,0.0,9,6,15.0,0,0
1.0,4,0.0,0.0,1.0,0.1642,0,1,1.0,0,2
1.0,5,0.0,0.0,2.0,0.1642,1,1,2.0,0,2
1.0,6,0.0,0.0,2.0,0.1642,0,1,1.0,0,2
1.0,7,0.0,0.0,2.0,0.2985,0,3,3.0,0,2
1.0,8,0.0,0.0,1.0,0.2836,0,18,18.0,0,2
1.0,9,0.0,0.0,1.0,0.2537,3,29,32.0,0,2
1.0,10,0.0,0.0,1.0,0.2836,8,71,79.0,0,2
1.0,11,0.0,0.0,1.0,0.2537,23,70,93.0,0,2
1.0,12,0.0,0.0,1.0,0.2836,29,75,104.0,0,2
1.0,13,0.0,0.0,1.0,0.2985,23,95,118.0,0,2
1.0,14,0.0,0.0,1.0,0.2537,22,69,91.0,0,2
1.0,15,0.0,0.0,1.0,0.2537,35,78,113.0,0,2
1.0,16,0.0,0.0,1.0,0.2239,22,77,99.0,0,2
1.0,17,0.0,0.0,1.0,0.2537,23,82,105.0,0,2
1.0,18,0.0,0.0,1.0,0.1642,11,56,67.0,0,2
1.0,19,0.0,0.0,1.0,0.1343,14,47,61.0,0,2
1.0,20,0.0,0.0,1.0,0.1642,7,50,57.0,0,2
1.0,21,0.0,0.0,1.0,0.1642,6,22,28.0,0,2
1.0,22,0.0,0.0,2.0,0.1343,2,19,21.0,0,2
1.0,23,0.0,0.0,2.0,0.1045,0,18,18.0,0,2
1.0,0,0.5302661841792947,0.0,2.0,0.2239,1,16,17.0,0,2
1.0,1,0.5302661841792947,0.0,2.0,0.194,1,15,16.0,0,2
1.0,2,0.5302661841792947,0.0,2.0,0.2537,0,8,8.0,0,2
1.0,3,0.5302661841792947,0.0,2.0,0.194,0,2,2.0,0,2
1.0,4,0.5302661841792947,0.0,2.0,0.1343,1,2,3.0,0,2
1.0,5,0.5302661841792947,0.0,2.0,0.1642,0,1,1.0,0,2
1.0,6,0.5302661841792947,0.0,2.0,0.194,0,5,5.0,0,2
1.0,7,0.5302661841792947,0.0,2.0,0.1343,4,9,13.0,0,2
1.0,8,0.5302661841792947,0.0,2.0,0.2239,3,30,33.0,0,2
1.0,9,0.5302661841792947,0.0,2.0,0.2239,8,39,47.0,0,2
1.0,10,0.5302661841792947,0.0,2.0,0.2537,7,50,57.0,0,2
1.0,11,0.5302661841792947,0.0,2.0,0.194,9,55,64.0,0,2
1.0,12,0.5302661841792947,0.0,2.0,0.1343,10,70,80.0,0,2
1.0,13,0.5302661841792947,0.0,2.0,0.1343,13,80,93.0,0,2
1.0,14,0.5302661841792947,0.0,2.0,0.1045,12,74,86.0,0,2
1.0,15,0.5302661841792947,0.0,2.0,0.1642,21,72,93.0,0,2
1.0,16,0.5302661841792947,0.0,2.0,0.1642,6,76,82.0,0,2
1.0,17,0.5302661841792947,0.0,1.0,0.194,4,67,71.0,0,2
1.0,18,0.5302661841792947,0.0,2.0,0.2537,7,85,92.0,0,2
1.0,19,0.5302661841792947,0.0,3.0,0.194,2,58,60.0,0,2
1.0,20,0.5302661841792947,0.0,3.0,0.194,4,29,33.0,0,0
1.0,21,0.5302661841792947,0.0,3.0,0.194,3,24,27.0,0,0
1.0,22,0.5302661841792947,0.0,3.0,0.2537,0,13,13.0,0,3
1.0,23,0.5302661841792947,0.0,3.0,0.2836,1,3,4.0,0,0
