season,year,month,hour,holiday,weekday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,day
1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Sunday
1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,Sunday
1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Sunday
1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Sunday
1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Sunday
1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Sunday
1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Sunday
1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Sunday
1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Sunday
1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Sunday
1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Sunday
1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,Monday
1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Monday
1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Monday
1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Monday
1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Monday
1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,Monday
1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Monday
1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Monday
1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Monday
1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Monday
1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Monday
1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Monday
1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Monday
1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Monday
1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Monday
1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Monday
1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Monday
1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,Monday
1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Monday
1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,Monday
1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Monday
1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Monday
1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Tuesday
1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Tuesday
1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Tuesday
1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Tuesday
1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,Tuesday
1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,Tuesday
1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,Tuesday
1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,Tuesday
1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,Tuesday
1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,Tuesday
1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,Tuesday
1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,Tuesday
1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,Tuesday
1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,Tuesday
1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,Tuesday
1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,Tuesday
1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,Tuesday
1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,Tuesday
1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,Tuesday
1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,Tuesday
1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,Tuesday
1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,Tuesday
1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,Tuesday
1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,Wednesday
1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,Wednesday
1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,Wednesday
1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,Wednesday
1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,Wednesday
1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,Wednesday
1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,Wednesday
1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,Wednesday
1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,Wednesday
1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,Wednesday
1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,Wednesday
1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,Wednesday
1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,Wednesday
1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,Wednesday
1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,Wednesday
1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,Wednesday
1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,Wednesday
1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,Wednesday
1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,Wednesday
1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,Wednesday
1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,Wednesday
1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,Wednesday
1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,Wednesday
1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,Thursday
1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,Thursday
1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,Thursday
1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,Thursday
1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,Thursday
1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,Thursday
1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,Thursday
1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,Thursday
1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,Thursday
1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,Thursday
1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,Thursday
1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,Thursday
1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,Thursday
1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,Thursday
1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,Thursday
1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,Thursday
1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,Thursday
1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,Thursday
1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,Thursday
1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,Thursday
1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,Thursday
1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,Thursday
1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,Thursday
1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,Friday
1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,Friday
1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,Friday
1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,Friday
1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,Friday
1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,Friday
1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,Friday
1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,Friday
1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,Friday
1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,Friday
1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,Friday
1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,Friday
1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,Friday
1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,Friday
1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,Friday
1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,Friday
1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,Friday
1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,Friday
1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,Friday
1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,Friday
1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,Friday
1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,Friday
1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,Friday
1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,Saturday
1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,Saturday
1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,Saturday
1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,Saturday
1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,Saturday
1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,Saturday
1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,Saturday
1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,Saturday
1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,Saturday
1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,Saturday
1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,Saturday
1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,Saturday
1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,Saturday
1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,Saturday
1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,Saturday
1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,Saturday
1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,Saturday
1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,Saturday
1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,Saturday
1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,Saturday
1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,Saturday
1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,Saturday
1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,Saturday
1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,Saturday
1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,Sunday
1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,Sunday
1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,Sunday
1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,Sunday
1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Sunday
1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Sunday
1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,Sunday
1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,Sunday
1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,Sunday
1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,Sunday
1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,Sunday
1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,Sunday
1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,Sunday
1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,Sunday
1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,Sunday
1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,Sunday
1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,Sunday
1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,Sunday
1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,Sunday
1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,Sunday
1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,Sunday
1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,Sunday
1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,Sunday
1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,Sunday
1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,Monday
1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,Monday
1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,Monday
1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,Monday
1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,Monday
1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,Monday
1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,Monday
1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,Monday
1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,Monday
1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,Monday
1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,Monday
1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,Monday
1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,Monday
1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,Monday
1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,Monday
1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,Monday
1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,Monday
1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,Monday
1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,Monday
1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,Monday
1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,Monday
1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,Monday
1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,Monday
1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,Monday
1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,Tuesday
1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,Tuesday
1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,Tuesday
1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,Tuesday
1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,Tuesday
1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99,Tuesday
1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,Tuesday
1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,Tuesday
1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,Tuesday
1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,Tuesday
1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,Tuesday
1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,Tuesday
1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,Tuesday
1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47,Tuesday
1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,Tuesday
1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136,Tuesday
1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95,Tuesday
1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,51,Tuesday
1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32,Tuesday
1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20,Tuesday
1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29,Tuesday
1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19,Tuesday
1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7,Wednesday
1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6,Wednesday
1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1,Wednesday
1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5,Wednesday
1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16,Wednesday
1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54,Wednesday
1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128,Wednesday
1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81,Wednesday
1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39,Wednesday
1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35,Wednesday
1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55,Wednesday
1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49,Wednesday
1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44,Wednesday
1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49,Wednesday
1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63,68,Wednesday
1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139,Wednesday
1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137,Wednesday
1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82,83,Wednesday
1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56,Wednesday
1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57,57,Wednesday
1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,32,33,Wednesday
1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,1,19,20,Wednesday
1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,1,6,7,Thursday
1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,0,2,2,Thursday
1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,0,2,2,Thursday
1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,0,3,3,Thursday
1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,0,4,4,Thursday
1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,0,3,3,Thursday
1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,0,28,28,Thursday
1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,0,72,72,Thursday
1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,5,197,202,Thursday
1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,2,137,139,Thursday
1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,2,36,38,Thursday
1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,4,33,37,Thursday
1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,3,49,52,Thursday
1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,2,81,83,Thursday
1,0,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,3,39,42,Thursday
1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,5,55,60,Thursday
1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,2,76,78,Thursday
1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,4,158,162,Thursday
1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,3,141,144,Thursday
1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,1,98,99,Thursday
1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,0,64,64,Thursday
1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,0,40,40,Thursday
1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,0,30,30,Thursday
1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,1,14,15,Thursday
1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,0,14,14,Friday
1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,0,5,5,Friday
1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,0,1,1,Friday
1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,0,1,1,Friday
1,0,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,0,8,8,Friday
1,0,1,6,0,5,1,1,0.1,0.1818,0.54,0.0,0,17,17,Friday
1,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,0,70,70,Friday
1,0,1,8,0,5,1,1,0.12,0.1667,0.68,0.0,2,156,158,Friday
1,0,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,0,117,117,Friday
